Srno,TranslatedRecipeName,Cuisine,Image_URL,Price
0,Masala Karela,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Thakur/Karela_Masala_Recipe-4_1600.jpg,328
1,Spicy Tomato Rice,South Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/b.yojana-gmail.com/Spicy_Thakkali_Rice_Tomato_Pulihora-1_edited.jpg,322
2,Ragi Semiya Upma,South Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Monika_Manchanda/Ragi_vermicilli.jpg,166
3,Andhra Style Allam Pachadi,Andhra,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Allam_Pachadi_Ginger_Chutney_Recipe_.jpg,165
4,Pudina Khara Pongal,South Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Mint_Khara_Pongal_Recipe.jpg,183
5,Udupi Style Ash Gourd Coconut Curry,Udupi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Udupi_Style_Ash_Gourd_Coconut_Curry_Recipe_.jpg,180
6,Mexican Style Black Bean Burrito,Mexican,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Divya_Shivaraman_/Amaranth_quinoa_buckwheat_black_bean_stuffed_burritos.jpg,181
7,Spicy Crunchy Masala Idli,South Indian,https://www.archanaskitchen.com/images/archanaskitchen/Guest_Writers/Jeny_John/Spicy_Crunchy_Masala_Idli_Recipe.jpg,179
8,Cauliflower Leaves Chutney,South Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/anu.mallajosyula-gmail.com/Cauliflower_leaf_chutney_recipe_edited_1.jpg,239
9,Baked Beans,Fusion,https://www.archanaskitchen.com/images/archanaskitchen/World_Breakfast/Homemade_baked_beans_Recipe_healthy_breakfast_shutterstock_222439996.jpg,384
10,Veg Chili Cheese Burgers,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Veg_Chili_Cheese_Burgers_Recipe.jpg,290
11,Andhra Style Ingavu Chaaru,Andhra,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Ingavu_Chaaru_Recipe_Asafetida_flavored_Tamarind_Rasam.jpg,140
12,Saunf Aloo,Punjabi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuri_Aggarwal/Saunf_Aloo__Fennel_Potato_Curry.jpg,236
13,South Indian Onion Chutney,South Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Aparna/The_Healthy_South_Indian_Onion_Chutney_1600.jpg,336
14,Gourd Raita,Indian,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Preethi_Kitchen_Appliances_Lauki_Raita_Recipe_video-1.jpg,143
15,Tater Tots,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Homemade_Tater_Tots.jpg,387
16,Chettinad Vegetable Casserole,Chettinad,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Rice/Chettinad_Vegetable_Pulao_Recipe_with_Kohinoor_Platinum_Basmati_Rice_-1.jpg,127
17,Garlic Amla Chutney,Tamil Nadu,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/Garlic_Amla_Chutney_Recipe_-_Garlic_And_Gooseberry_Chutney.jpg,157
18,Maharashtrian Kakdi Thalipeeth,Maharashtrian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Raksha_Kamat/Cucumber_Thalipeeth.jpg,212
19,Subway Sandwich With Beet & Sprout,Fusion,https://www.archanaskitchen.com/images/archanaskitchen/World_Sandwiches_Burgers_Wraps/Beet_and_Sprout_Vegetable_Sandwich_Recipe-1.jpg,394
20,South Indian Style Murungakkai Poriyal,South Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/vidya.masalachilli-gmail.com/Drumsticks_Poriyal__South_Style_Drumsticks_Sabzi_recipe.jpg,114
21,Kesar Mango Lassi,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/pooja/Mango_Saffron_Lassi.jpg,168
22,Chettinad Sweet Paniyaram,Chettinad,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/CHETTINAD_SWEET_PANIYARAM_1600.jpg,127
23,Mini Dal Samosa Sabzi,North Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/simpiagrawal-gmail.com/Mini_Dal_Samosa_Curry.jpg,146
24,Spinach Garlic Bruschetta With Red Bell Pepper Sauce,Italian,https://www.archanaskitchen.com/images/archanaskitchen/World_appetizer/spinach-garlic-bruschetta-with-red-bell-pepper-sauce.jpg,166
25,Mini Dal Pakwan Chat,Sindhi,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Mini_Dal_Pakwan_Chaat_Recipe-9_1600.jpg,327
26,Asian Style Sweet & Spicy Green Beans,Thai,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Asian_Style_Green_Beans_Recipe_8_1600.jpg,102
27,Chinese Darsaan With Ice Cream,Chinese,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Articles/Chinese_Darsan_Recipe_Honey_Crispy_Noodles_With_Vanilla_Ice_Cream-4_1_1600.jpg,243
28,Sundakkai And Methi Leaves Sambar,South Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Neeru_Srikanth/Sundaikkai__Methi_leaves_sambar.jpg,328
29,Matar Samosa,North Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Richa_Gupta/Matar_ke_Samose.jpg,320
30,Kerala Palada Pradhaman,Kerala,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/jyothir/Kerala_Palada_Pradhaman.jpg,153
31,Tindora Sambharo,Gujarati,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Tindora_Sambharo_Recipe_Instant_Tendli_Pickle_-4_1600.jpg,133
32,Palakottai Kuzhambu,Tamil Nadu,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/Palakottai_kuzhambu_jackfruit_seeds_curry_recipe.jpg,164
33,Baingan Bharta,Punjabi,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Dry/Baingan_Bharta_Sabzi_Recipe_Smoked_Roasted_Eggplant_with_Green_Chillies_and_Ginger-1.jpg,278
34,Kesar Chai,North Indian,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Kesai_Chai_Recipe_Indian_Style_Saffron_Tea-1.jpg,183
35,Pacha Manga Pachadi,Tamil Nadu,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2021/Raw_Mango_Pachadi_Recipe_8_1600.jpg,272
36,Whole Wheat Crepe With Herbed Vegetables,Coorg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuli_Ajay/Whole_wheat_crepes_with_roasted_vegetables_and_white_sauce.jpg,339
